type,n,threshold,usec
random,91300,0,32854.6
random,91400,0,32869
random,91500,0,32885.6
random,91600,0,33132.2
random,91700,0,33342.6
random,91800,0,33687.2
random,91900,0,32888.4
random,92000,0,32929.4
random,92100,0,33089.6
random,92200,0,32949.6
random,92300,0,32979.8
random,92400,0,33037.8
random,92500,0,33086.2
random,92600,0,33045.8
random,92700,0,33095.2
random,92800,0,33122.8
random,92900,0,33154.2
random,93000,0,33201.2
random,93100,0,33240
random,93200,0,33260.4
random,93300,0,33287.2
random,93400,0,33366.8
random,93500,0,33358.6
random,93600,0,33382.6
random,93700,0,33444.4
random,93800,0,33404.6
random,93900,0,33474
random,94000,0,33508.4
random,94100,0,33590.2
random,94200,0,33634.8
random,94300,0,33637.4
random,94400,0,33704.6
random,94500,0,33684.8
random,94600,0,33763.2
random,94700,0,33773.8
random,94800,0,33829.4
random,94900,0,33856.4
random,95000,0,33914.6
random,95100,0,34021.4
random,95200,0,34044.2
random,95300,0,34049
random,95400,0,34098.2
random,95500,0,34191
random,95600,0,34174.4
random,95700,0,34177.4
random,95800,0,34251.8
random,95900,0,34273
random,96000,0,34346.6
random,96100,0,34406
random,96200,0,34279.8
random,96300,0,34350
random,96400,0,34353.6
random,96500,0,34382.8
random,96600,0,34433.2
random,96700,0,34525.4
random,96800,0,34539.4
random,96900,0,34497.6
random,97000,0,34635.2
random,97100,0,34607.2
random,97200,0,34678
random,97300,0,34688.6
random,97400,0,34748
random,97500,0,34788.2
random,97600,0,34781
random,97700,0,34849
random,97800,0,34881
random,97900,0,34921.8
random,98000,0,34973.6
random,98100,0,35151
random,98200,0,35098
random,98300,0,35088.4
random,98400,0,35076
random,98500,0,35146.4
random,98600,0,35158.4
random,98700,0,35234.8
random,98800,0,35297.2
random,98900,0,35341.8
random,99000,0,35465.4
random,99100,0,35479.4
random,99200,0,35542.2
random,99300,0,35611.6
random,99400,0,35639.8
random,99500,0,35661.6
random,99600,0,35674.2
random,99700,0,35732.8
random,99800,0,35715.2
random,99900,0,35747.6
random,100000,0,35761
reverse,500,0,93.4
reverse,600,0,115.8
reverse,700,0,136.2
reverse,800,0,160.2
reverse,900,0,181.2
reverse,1000,0,199.2
reverse,1100,0,223.8
reverse,1200,0,247.6
reverse,1300,0,267.2
reverse,1400,0,292
reverse,1500,0,312.4
reverse,1600,0,337
reverse,1700,0,363.8
reverse,1800,0,386.2
