type,n,threshold,usec
random,83200,5,24110
random,83300,5,24213.4
random,83400,5,24252
random,83500,5,24299
random,83600,5,24315.8
random,83700,5,24370.4
random,83800,5,24497.2
random,83900,5,24412
random,84000,5,24444.4
random,84100,5,24458.4
random,84200,5,24504.8
random,84300,5,24565.4
random,84400,5,24682.4
random,84500,5,24669.2
random,84600,5,24740.2
random,84700,5,24817.8
random,84800,5,24862.2
random,84900,5,24884.6
random,85000,5,24957
random,85100,5,24929.6
random,85200,5,24970.6
random,85300,5,25086.6
random,85400,5,25160.6
random,85500,5,25164.2
random,85600,5,25298.6
random,85700,5,25265.4
random,85800,5,25243.8
random,85900,5,25286.2
random,86000,5,25318.4
random,86100,5,25379.8
random,86200,5,25531.6
random,86300,5,25460.6
random,86400,5,25535.4
random,86500,5,25579
random,86600,5,25575
random,86700,5,25597
random,86800,5,25638
random,86900,5,26045.8
random,87000,5,25687.8
random,87100,5,25706.2
random,87200,5,25775.4
random,87300,5,25812.2
random,87400,5,25843.8
random,87500,5,25886.6
random,87600,5,25955.4
random,87700,5,26001
random,87800,5,26031.2
random,87900,5,26072
random,88000,5,26099.4
random,88100,5,26188.8
random,88200,5,26226.6
random,88300,5,26258
random,88400,5,26298.4
random,88500,5,26304.6
random,88600,5,26356
random,88700,5,26420.2
random,88800,5,26470.6
random,88900,5,26481
random,89000,5,26516
random,89100,5,26578.8
random,89200,5,26589.6
random,89300,5,26638
random,89400,5,26666.4
random,89500,5,26724.6
random,89600,5,26732.8
random,89700,5,26810.4
random,89800,5,26817.8
random,89900,5,26894.4
random,90000,5,26950.6
random,90100,5,26988.6
random,90200,5,27043
random,90300,5,27060.4
random,90400,5,27355.2
random,90500,5,27138.2
random,90600,5,27249.8
random,90700,5,27258.2
random,90800,5,27294.6
random,90900,5,27401.2
random,91000,5,27391.6
random,91100,5,27449.8
random,91200,5,27466.2
random,91300,5,27416
random,91400,5,27493
random,91500,5,27524.2
random,91600,5,27551.8
random,91700,5,27595
random,91800,5,27637
random,91900,5,27689.2
random,92000,5,27733.6
random,92100,5,27790.4
random,92200,5,27871
random,92300,5,27841
random,92400,5,27892.8
random,92500,5,27928.2
random,92600,5,27976.4
random,92700,5,28001.4
random,92800,5,28069.2
random,92900,5,28127
random,93000,5,28157
random,93100,5,28182
random,93200,5,28238.6
random,93300,5,28269.8
random,93400,5,28316
random,93500,5,28351.6
random,93600,5,28384.2
random,93700,5,28451.8
random,93800,5,28467.4
random,93900,5,28519.8
random,94000,5,28560
random,94100,5,28611
random,94200,5,28632.8
random,94300,5,28670.2
random,94400,5,28711.2
random,94500,5,28742.8
random,94600,5,28779.4
random,94700,5,28845.6
random,94800,5,28883
random,94900,5,28912.2
random,95000,5,28975.8
random,95100,5,30381
random,95200,5,30518.4
random,95300,5,29666.4
random,95400,5,29297.4
random,95500,5,29215.2
random,95600,5,29253.2
random,95700,5,29406.4
random,95800,5,29342.2
random,95900,5,29364.6
random,96000,5,29421
random,96100,5,29506.4
random,96200,5,29495.2
random,96300,5,29535
random,96400,5,29599.2
random,96500,5,29585
random,96600,5,29630.6
random,96700,5,29707.2
random,96800,5,29821.4
random,96900,5,29735.2
random,97000,5,29753.2
random,97100,5,29877
random,97200,5,29825.8
random,97300,5,29853.4
random,97400,5,29997.4
random,97500,5,30050
random,97600,5,31487.4
random,97700,5,31961.2
random,97800,5,31018
random,97900,5,31050.8
random,98000,5,30630
random,98100,5,30423.2
random,98200,5,30464.6
random,98300,5,30456.6
random,98400,5,30482
random,98500,5,30432.6
random,98600,5,30486
random,98700,5,30462.8
random,98800,5,30550.6
random,98900,5,30541.6
random,99000,5,30634.6
